date,underlying,volume,open,high,low
07-26 09:53:10:367505,194.61,1,193.67,194.72,193.32
07-26 09:53:11:372002,194.604,1,193.67,194.72,193.32
07-26 09:53:12:337510,194.604,1,193.67,194.72,193.32
07-26 09:53:13:341467,194.61,2,193.67,194.72,193.32
07-26 09:53:14:349500,194.61,2,193.67,194.72,193.32
07-26 09:53:15:396352,194.59,1,193.67,194.72,193.32
07-26 09:53:16:359547,194.595,1,193.67,194.72,193.32
07-26 09:53:17:362306,194.6,1,193.67,194.72,193.32
07-26 09:53:18:359273,194.595,2,193.67,194.72,193.32
07-26 09:53:19:410056,194.595,2,193.67,194.72,193.32
07-26 09:53:20:422915,194.59,1,193.67,194.72,193.32
07-26 09:53:21:374196,194.5701,3,193.67,194.72,193.32
07-26 09:53:22:379927,194.575,1,193.67,194.72,193.32
07-26 09:53:23:379267,194.575,1,193.67,194.72,193.32
07-26 09:53:24:383483,194.574,5,193.67,194.72,193.32
07-26 09:53:25:397539,194.57,1,193.67,194.72,193.32
07-26 09:53:26:427085,194.5601,3,193.67,194.72,193.32
07-26 09:53:27:432478,194.6099,3,193.67,194.72,193.32
07-26 09:53:28:401548,194.61,1,193.67,194.72,193.32
07-26 09:53:29:405050,194.605,1,193.67,194.72,193.32
07-26 09:53:30:402795,194.6223,1,193.67,194.72,193.32
07-26 09:53:31:402286,194.62,1,193.67,194.72,193.32
07-26 09:53:32:441052,194.63,1,193.67,194.72,193.32
07-26 09:53:33:406182,194.6299,1,193.67,194.72,193.32
07-26 09:53:34:422507,194.6296,15,193.67,194.72,193.32
07-26 09:53:35:456657,194.61,3,193.67,194.72,193.32
07-26 09:53:36:416539,194.6187,2,193.67,194.72,193.32
07-26 09:53:37:422515,194.6187,2,193.67,194.72,193.32
07-26 09:53:38:418499,194.6187,2,193.67,194.72,193.32
07-26 09:53:39:428203,194.62,1,193.67,194.72,193.32
07-26 09:53:40:428712,194.62,1,193.67,194.72,193.32
07-26 09:53:41:463647,194.6403,4,193.67,194.72,193.32
07-26 09:53:42:464960,194.65,5,193.67,194.72,193.32
07-26 09:53:43:463824,194.65,5,193.67,194.72,193.32
07-26 09:53:44:471071,194.64,1,193.67,194.72,193.32
07-26 09:53:45:435582,194.625,1,193.67,194.72,193.32
07-26 09:53:46:475720,194.64,1,193.67,194.72,193.32
07-26 09:53:47:435708,194.6195,1,193.67,194.72,193.32
07-26 09:53:48:436496,194.615,1,193.67,194.72,193.32
07-26 09:53:49:447832,194.615,1,193.67,194.72,193.32
07-26 09:53:50:490230,194.59,1,193.67,194.72,193.32
07-26 09:53:51:488942,194.59,1,193.67,194.72,193.32
07-26 09:53:52:452770,194.59,1,193.67,194.72,193.32
07-26 09:53:53:456054,194.56,1,193.67,194.72,193.32
07-26 09:53:54:456254,194.56,1,193.67,194.72,193.32
07-26 09:53:55:455176,194.5566,1,193.67,194.72,193.32
07-26 09:53:56:452164,194.559,3,193.67,194.72,193.32
07-26 09:53:57:462558,194.555,2,193.67,194.72,193.32
07-26 09:53:58:449126,194.55,2,193.67,194.72,193.32
07-26 09:53:59:496256,194.55,2,193.67,194.72,193.32
07-26 09:54:00:463859,194.541,1,193.67,194.72,193.32
07-26 09:54:01:465461,194.54,1,193.67,194.72,193.32
07-26 09:54:02:457585,194.55,49,193.67,194.72,193.32
07-26 09:54:03:455253,194.52,1,193.67,194.72,193.32
07-26 09:54:04:466508,194.53,10,193.67,194.72,193.32
07-26 09:54:05:460817,194.525,2,193.67,194.72,193.32
07-26 09:54:06:467465,194.545,22,193.67,194.72,193.32
07-26 09:54:07:462881,194.545,22,193.67,194.72,193.32
07-26 09:54:08:470592,194.53,2,193.67,194.72,193.32
07-26 09:54:09:471745,194.53,2,193.67,194.72,193.32
07-26 09:54:10:467957,194.52,1,193.67,194.72,193.32
07-26 09:54:11:502556,194.5123,1,193.67,194.72,193.32
07-26 09:54:12:514164,194.5109,1,193.67,194.72,193.32
07-26 09:54:13:476698,194.5391,4,193.67,194.72,193.32
07-26 09:54:14:465689,194.53,1,193.67,194.72,193.32
07-26 09:54:15:477990,194.54,1,193.67,194.72,193.32
07-26 09:54:16:480235,194.53,6,193.67,194.72,193.32
07-26 09:54:17:475742,194.53,1,193.67,194.72,193.32
07-26 09:54:18:519968,194.53,5,193.67,194.72,193.32
07-26 09:54:19:480212,194.53,1,193.67,194.72,193.32
07-26 09:54:20:482860,194.54,1,193.67,194.72,193.32
07-26 09:54:21:552256,194.5303,1,193.67,194.72,193.32
07-26 09:54:22:482510,194.55,1,193.67,194.72,193.32
07-26 09:54:23:487456,194.5599,5,193.67,194.72,193.32
07-26 09:54:24:488499,194.57,2,193.67,194.72,193.32
07-26 09:54:25:491285,194.58,10,193.67,194.72,193.32
07-26 09:54:26:504856,194.58,15,193.67,194.72,193.32
07-26 09:54:27:494585,194.5887,1,193.67,194.72,193.32
07-26 09:54:28:534974,194.5981,1,193.67,194.72,193.32
07-26 09:54:29:536577,194.589,1,193.67,194.72,193.32
07-26 09:54:30:539152,194.589,1,193.67,194.72,193.32
07-26 09:54:31:499243,194.6,1,193.67,194.72,193.32
07-26 09:54:32:538755,194.6,1,193.67,194.72,193.32
07-26 09:54:33:507356,194.6,1,193.67,194.72,193.32
07-26 09:54:34:554334,194.59,20,193.67,194.72,193.32
07-26 09:54:35:546904,194.585,1,193.67,194.72,193.32
07-26 09:54:36:520319,194.59,1,193.67,194.72,193.32
07-26 09:54:37:524289,194.58,1,193.67,194.72,193.32
07-26 09:54:38:563889,194.59,1,193.67,194.72,193.32
07-26 09:54:39:532217,194.59,1,193.67,194.72,193.32
07-26 09:54:40:571343,194.59,1,193.67,194.72,193.32
07-26 09:54:41:529081,194.55,5,193.67,194.72,193.32
07-26 09:54:42:534361,194.55,5,193.67,194.72,193.32
07-26 09:54:43:539676,194.555,4,193.67,194.72,193.32
07-26 09:54:45:520535,194.55,2,193.67,194.72,193.32
07-26 09:54:45:607856,194.55,2,193.67,194.72,193.32
07-26 09:54:46:645941,194.54,1,193.67,194.72,193.32
07-26 09:54:47:656630,194.53,1,193.67,194.72,193.32
07-26 09:54:48:637367,194.53,1,193.67,194.72,193.32
07-26 09:54:49:620237,194.5148,2,193.67,194.72,193.32
07-26 09:54:50:660918,194.52,1,193.67,194.72,193.32
07-26 09:54:51:663920,194.5,1,193.67,194.72,193.32
07-26 09:54:52:680727,194.5,1,193.67,194.72,193.32
07-26 09:54:53:645601,194.5,1,193.67,194.72,193.32
07-26 09:54:54:648230,194.52,2,193.67,194.72,193.32
07-26 09:54:55:650378,194.5,1,193.67,194.72,193.32
07-26 09:54:56:647751,194.5101,5,193.67,194.72,193.32
07-26 09:54:57:808101,194.505,1,193.67,194.72,193.32
07-26 09:54:58:654783,194.51,1,193.67,194.72,193.32
07-26 09:54:59:661294,194.5,1,193.67,194.72,193.32
07-26 09:55:00:703362,194.5,1,193.67,194.72,193.32
07-26 09:55:01:667818,194.505,1,193.67,194.72,193.32
07-26 09:55:02:724604,194.505,2,193.67,194.72,193.32
07-26 09:55:03:678973,194.5527,4,193.67,194.72,193.32
07-26 09:55:04:718195,194.5485,2,193.67,194.72,193.32
07-26 09:55:06:205996,194.53,7,193.67,194.72,193.32
07-26 09:55:06:690370,194.51,1,193.67,194.72,193.32
07-26 09:55:07:717718,194.51,1,193.67,194.72,193.32
07-26 09:55:08:687346,194.51,1,193.67,194.72,193.32
07-26 09:55:09:864136,194.5,1,193.67,194.72,193.32
07-26 09:55:10:688022,194.5,3,193.67,194.72,193.32
07-26 09:55:11:696570,194.5,1,193.67,194.72,193.32
07-26 09:55:12:705197,194.51,1,193.67,194.72,193.32
07-26 09:55:13:786336,194.52,1,193.67,194.72,193.32
07-26 09:55:14:694244,194.5301,91,193.67,194.72,193.32
07-26 09:55:15:699181,194.5096,5,193.67,194.72,193.32
07-26 09:55:16:706288,194.5,1,193.67,194.72,193.32
07-26 09:55:17:705417,194.49,1,193.67,194.72,193.32
07-26 09:55:18:713018,194.45,1,193.67,194.72,193.32
07-26 09:55:19:714648,194.455,3,193.67,194.72,193.32
07-26 09:55:20:715241,194.455,1,193.67,194.72,193.32
07-26 09:55:21:714155,194.4624,5,193.67,194.72,193.32
07-26 09:55:22:712535,194.46,2,193.67,194.72,193.32
07-26 09:55:23:718143,194.46,4,193.67,194.72,193.32
07-26 09:55:24:710048,194.4502,4,193.67,194.72,193.32
07-26 09:55:25:739022,194.455,5,193.67,194.72,193.32
07-26 09:55:26:721366,194.4675,5,193.67,194.72,193.32
07-26 09:55:27:757171,194.4675,5,193.67,194.72,193.32
07-26 09:55:28:740788,194.46,1,193.67,194.72,193.32
07-26 09:55:29:764972,194.4599,5,193.67,194.72,193.32
07-26 09:55:30:725445,194.45,1,193.67,194.72,193.32
07-26 09:55:31:736982,194.459,1,193.67,194.72,193.32
07-26 09:55:32:779380,194.45,2,193.67,194.72,193.32
07-26 09:55:33:743656,194.44,1,193.67,194.72,193.32
07-26 09:55:34:735211,194.46,1,193.67,194.72,193.32
07-26 09:55:35:784475,194.48,5,193.67,194.72,193.32
07-26 09:55:36:794344,194.47,1,193.67,194.72,193.32
07-26 09:55:37:760383,194.48,1,193.67,194.72,193.32
07-26 09:55:38:746306,194.47,1,193.67,194.72,193.32
07-26 09:55:39:761210,194.45,1,193.67,194.72,193.32
07-26 09:55:40:794587,194.42,1,193.67,194.72,193.32
07-26 09:55:41:759257,194.4201,2,193.67,194.72,193.32
07-26 09:55:42:766001,194.42,1,193.67,194.72,193.32
07-26 09:55:43:779131,194.44,1,193.67,194.72,193.32
07-26 09:55:44:817021,194.46,13,193.67,194.72,193.32
07-26 09:55:45:774716,194.47,1,193.67,194.72,193.32
07-26 09:55:46:780330,194.475,2,193.67,194.72,193.32
07-26 09:55:47:782390,194.505,1,193.67,194.72,193.32
07-26 09:55:48:785154,194.5,10,193.67,194.72,193.32
07-26 09:55:49:794321,194.475,5,193.67,194.72,193.32
07-26 09:55:50:799386,194.47,1,193.67,194.72,193.32
07-26 09:55:51:835463,194.47,1,193.67,194.72,193.32
07-26 09:55:52:802784,194.47,1,193.67,194.72,193.32
07-26 09:55:53:840205,194.47,1,193.67,194.72,193.32
07-26 09:55:54:796835,194.47,1,193.67,194.72,193.32
07-26 09:55:55:850883,194.47,1,193.67,194.72,193.32
07-26 09:55:56:848601,194.47,1,193.67,194.72,193.32
07-26 09:55:57:808045,194.46,1,193.67,194.72,193.32
07-26 09:55:58:806301,194.471,2,193.67,194.72,193.32
07-26 09:55:59:814981,194.47,1,193.67,194.72,193.32
07-26 09:56:00:819813,194.465,1,193.67,194.72,193.32
07-26 09:56:01:858441,194.48,2,193.67,194.72,193.32
07-26 09:56:02:816937,194.47,1,193.67,194.72,193.32
07-26 09:56:03:866325,194.47,1,193.67,194.72,193.32
07-26 09:56:04:826795,194.47,1,193.67,194.72,193.32
07-26 09:56:05:829766,194.47,1,193.67,194.72,193.32
07-26 09:56:06:829149,194.47,1,193.67,194.72,193.32
07-26 09:56:07:826177,194.4871,1,193.67,194.72,193.32
07-26 09:56:08:835123,194.5,1,193.67,194.72,193.32
07-26 09:56:09:837056,194.52,2,193.67,194.72,193.32
07-26 09:56:10:844021,194.49,1,193.67,194.72,193.32
07-26 09:56:11:878832,194.5,1,193.67,194.72,193.32
07-26 09:56:12:841119,194.5,1,193.67,194.72,193.32
07-26 09:56:13:852014,194.51,1,193.67,194.72,193.32
07-26 09:56:14:855232,194.49,1,193.67,194.72,193.32
07-26 09:56:15:855461,194.49,2,193.67,194.72,193.32
07-26 09:56:16:852086,194.495,1,193.67,194.72,193.32
07-26 09:56:17:889896,194.495,1,193.67,194.72,193.32
07-26 09:56:18:860393,194.4998,28,193.67,194.72,193.32
07-26 09:56:19:868147,194.51,1,193.67,194.72,193.32
07-26 09:56:20:907703,194.5148,5,193.67,194.72,193.32
07-26 09:56:21:907933,194.5148,5,193.67,194.72,193.32
07-26 09:56:22:902857,194.515,1,193.67,194.72,193.32
07-26 09:56:23:921229,194.5195,1,193.67,194.72,193.32
07-26 09:56:24:864453,194.52,1,193.67,194.72,193.32
07-26 09:56:25:903317,194.52,1,193.67,194.72,193.32
07-26 09:56:26:862360,194.514,3,193.67,194.72,193.32
07-26 09:56:27:912434,194.5114,8,193.67,194.72,193.32
07-26 09:56:28:912032,194.52,1,193.67,194.72,193.32
07-26 09:56:29:903507,194.52,1,193.67,194.72,193.32
07-26 09:56:30:864801,194.5205,1,193.67,194.72,193.32
07-26 09:56:31:868193,194.53,1,193.67,194.72,193.32
07-26 09:56:32:878131,194.53,1,193.67,194.72,193.32
07-26 09:56:33:885594,194.5,1,193.67,194.72,193.32
07-26 09:56:34:871661,194.49,1,193.67,194.72,193.32
07-26 09:56:35:920501,194.491,4,193.67,194.72,193.32
07-26 09:56:36:884423,194.4991,8,193.67,194.72,193.32
07-26 09:56:37:931056,194.5,1,193.67,194.72,193.32
07-26 09:56:38:898904,194.4955,1,193.67,194.72,193.32
07-26 09:56:39:928533,194.49,1,193.67,194.72,193.32
07-26 09:56:40:897300,194.51,1,193.67,194.72,193.32
